badwords,isbad,,,,,,,,,
ㅅㅂㄹㅁ,1,,,,,,,,,
ㅆㅂㄹㅁ,1,,,,,,,,,
ㅆㅍ,1,,,,,,,,,
ㅆ앙,1,,,,,,,,,
凸,1,,,,,,,,,
갈보,1,,,,,,,,,
갈보년,1,,,,,,,,,
같은년 ,1,,,,,,,,,
같은뇬,1,,,,,,,,,
색스,1,,,,,,,,,
개같은,1,,,,,,,,,
개구라,1,,,,,,,,,
개년,1,,,,,,,,,
개놈,1,,,,,,,,,
개뇬,1,,,,,,,,,
개대중,1,,,,,,,,,
개독,1,,,,,,,,,
개돼중,1,,,,,,,,,
개랄,1,,,,,,,,,
개보지,1,,,,,,,,,
개뻥,1,,,,,,,,,
개뿔,1,,,,,,,,,
개새,1,,,,,,,,,
개새기,1,,,,,,,,,
개새끼,1,,,,,,,,,
개새키,1,,,,,,,,,
개색기,1,,,,,,,,,
개색끼,1,,,,,,,,,
개색키,1,,,,,,,,,
개색히,1,,,,,,,,,
개섀끼,1,,,,,,,,,
개세,1,,,,,,,,,
개세끼,1,,,,,,,,,
개세이,1,,,,,,,,,
개소리,1,,,,,,,,,
개쑈,1,,,,,,,,,
개쇳기,1,,,,,,,,,
개수작,1,,,,,,,,,
개쉐,1,,,,,,,,,
개쉐리,1,,,,,,,,,
개쉐이,1,,,,,,,,,
개쉑,1,,,,,,,,,
개쉽,1,,,,,,,,,
개스끼,1,,,,,,,,,
개시키,1,,,,,,,,,
개십새기,1,,,,,,,,,
개십새끼,1,,,,,,,,,
개씹,1,,,,,,,,,
개아들,1,,,,,,,,,
개자슥,1,,,,,,,,,
개자지,1,,,,,,,,,
개접,1,,,,,,,,,
개좆,1,,,,,,,,,
개좌식,1,,,,,,,,,
개허접,1,,,,,,,,,
걔새,1,,,,,,,,,
걔수작,1,,,,,,,,,
걔시끼,1,,,,,,,,,
걔시키,1,,,,,,,,,
게색기,1,,,,,,,,,
게색끼,1,,,,,,,,,
광뇬,1,,,,,,,,,
구라,1,,,,,,,,,
그년,1,,,,,,,,,
그새끼,1,,,,,,,,,
놈현,1,,,,,,,,,
뇬,1,,,,,,,,,
눈깔,1,,,,,,,,,
뉘미럴,1,,,,,,,,,
니귀미,1,,,,,,,,,
니기미,1,,,,,,,,,
니미,1,,,,,,,,,
니미랄,1,,,,,,,,,
니미럴,1,,,,,,,,,
니미씹,1,,,,,,,,,
니아배,1,,,,,,,,,
니아베,1,,,,,,,,,
니아비,1,,,,,,,,,
니어매,1,,,,,,,,,
니어메,1,,,,,,,,,
니어미,1,,,,,,,,,
닝기리,1,,,,,,,,,
닝기미,1,,,,,,,,,
대가리,1,,,,,,,,,
뎡신,1,,,,,,,,,
도라이,1,,,,,,,,,
돈놈,1,,,,,,,,,
돌아이,1,,,,,,,,,
돌은놈,1,,,,,,,,,
되질래,1,,,,,,,,,
뒈져,1,,,,,,,,,
뒈져라,1,,,,,,,,,
뒈진,1,,,,,,,,,
뒈진다,1,,,,,,,,,
뒈질,1,,,,,,,,,
뒤질래,1,,,,,,,,,
등신,1,,,,,,,,,
디져라,1,,,,,,,,,
디진다,1,,,,,,,,,
디질래,1,,,,,,,,,
딩시,1,,,,,,,,,
따식,1,,,,,,,,,
때놈,1,,,,,,,,,
또라이,1,,,,,,,,,
똘아이,1,,,,,,,,,
똘아이,1,,,,,,,,,
뙈놈,1,,,,,,,,,
뙤놈,1,,,,,,,,,
뙨넘,1,,,,,,,,,
뙨놈,1,,,,,,,,,
뚜쟁,1,,,,,,,,,
띠바,1,,,,,,,,,
띠발,1,,,,,,,,,
띠불,1,,,,,,,,,
띠팔,1,,,,,,,,,
메친넘,1,,,,,,,,,
메친놈,1,,,,,,,,,
미췬,1,,,,,,,,,
미췬,1,,,,,,,,,
미친,1,,,,,,,,,
미친넘,1,,,,,,,,,
미친년,1,,,,,,,,,
미친놈,1,,,,,,,,,
미친새끼,1,,,,,,,,,
미친스까이,1,,,,,,,,,
미틴,1,,,,,,,,,
미틴넘,1,,,,,,,,,
미틴년,1,,,,,,,,,
미틴놈,1,,,,,,,,,
바랄년,1,,,,,,,,,
병자,1,,,,,,,,,
뱅마,1,,,,,,,,,
뱅신,1,,,,,,,,,
벼엉신,1,,,,,,,,,
병쉰,1,,,,,,,,,
병신,1,,,,,,,,,
부랄,1,,,,,,,,,
부럴,1,,,,,,,,,
불알,1,,,,,,,,,
불할,1,,,,,,,,,
붕가,1,,,,,,,,,
붙어먹,1,,,,,,,,,
뷰웅,1,,,,,,,,,
븅,1,,,,,,,,,
븅신,1,,,,,,,,,
빌어먹,1,,,,,,,,,
빙시,1,,,,,,,,,
빙신,1,,,,,,,,,
빠가,1,,,,,,,,,
빠구리,1,,,,,,,,,
빠굴,1,,,,,,,,,
빠큐,1,,,,,,,,,
뻐큐,1,,,,,,,,,
뻑큐,1,,,,,,,,,
뽁큐,1,,,,,,,,,
상넘이,1,,,,,,,,,
상놈을,1,,,,,,,,,
상놈의,1,,,,,,,,,
상놈이,1,,,,,,,,,
새갸,1,,,,,,,,,
새꺄,1,,,,,,,,,
새끼,1,,,,,,,,,
새새끼,1,,,,,,,,,
새키,1,,,,,,,,,
색끼,1,,,,,,,,,
생쑈,1,,,,,,,,,
세갸,1,,,,,,,,,
세꺄,1,,,,,,,,,
세끼,1,,,,,,,,,
섹스,1,,,,,,,,,
쇼하네,1,,,,,,,,,
쉐,1,,,,,,,,,
쉐기,1,,,,,,,,,
쉐끼,1,,,,,,,,,
쉐리,1,,,,,,,,,
쉐에기,1,,,,,,,,,
쉐키,1,,,,,,,,,
쉑,1,,,,,,,,,
쉬발,1,,,,,,,,,
쉬밸,1,,,,,,,,,
쉬벌,1,,,,,,,,,
쉬뻘,1,,,,,,,,,
쉬펄,1,,,,,,,,,
쉽알,1,,,,,,,,,
스패킹,1,,,,,,,,,
스팽,1,,,,,,,,,
시궁창,1,,,,,,,,,
시끼,1,,,,,,,,,
